ADM3_EN,ADM3_PCODE,ADM3_REF,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Area_SqKm,,,,,,,,,,,,,,,,,,,,,,
TA Mwirang'ombe,MW10205,TA Mwirangombe,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,251.6928844,,,,,,,,,,,,,,,,,,,,,,
Nyika National Park-Karonga,MW10206,,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,557.5902516,,,,,,,,,,,,,,,,,,,,,,
Karonga Town,MW10220,,Karonga,MW102,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,44.27347645,,,,,,,,,,,,,,,,,,,,,,
TA Kabunduli,MW10301,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1709.056129,,,,,,,,,,,,,,,,,,,,,,
TA Fukamapiri,MW10302,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,215.2917908,,,,,,,,,,,,,,,,,,,,,,
TA Malenga Mzoma,MW10303,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,41.51804236,,,,,,,,,,,,,,,,,,,,,,
TA Malanda,MW10304,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,170.6714275,,,,,,,,,,,,,,,,,,,,,,
TA Zilakoma,MW10305,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,480.4523479,,,,,,,,,,,,,,,,,,,,,,
TA Mankhambira,MW10306,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,97.2804234,,,,,,,,,,,,,,,,,,,,,,
TA Fukamalaza,MW10307,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,75.67431677,,,,,,,,,,,,,,,,,,,,,,
TA Mkumbira,MW10308,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,53.63623607,,,,,,,,,,,,,,,,,,,,,,
TA M'bwana,MW10309,TA Mbwana,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,519.2397978,,,,,,,,,,,,,,,,,,,,,,
STA Nyaluwanga,MW10310,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,208.5344895,,,,,,,,,,,,,,,,,,,,,,
STA Kondowe,MW10311,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,85.38131198,,,,,,,,,,,,,,,,,,,,,,
TA Timbiri,MW10312,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,492.4756965,,,,,,,,,,,,,,,,,,,,,,
TA Boghoyo,MW10314,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,22.26234941,,,,,,,,,,,,,,,,,,,,,,
Nkhatabay Boma,MW10320,,Nkhatabay,MW103,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,12.35596203,,,,,,,,,,,,,,,,,,,,,,
TA Chikulamayembe,MW10401,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,678.3688937,,,,,,,,,,,,,,,,,,,,,,
TA Mwamlowe,MW10402,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,118.0614031,,,,,,,,,,,,,,,,,,,,,,
TA Mwahenga,MW10403,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,137.511454,,,,,,,,,,,,,,,,,,,,,,
TA Mwalweni,MW10404,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,259.1580541,,,,,,,,,,,,,,,,,,,,,,
STA Kachulu,MW10405,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,131.6870728,,,,,,,,,,,,,,,,,,,,,,
STA Chapinduka,MW10406,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,106.6633634,,,,,,,,,,,,,,,,,,,,,,
TA Mwankhunikira,MW10407,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,421.7880275,,,,,,,,,,,,,,,,,,,,,,
TA Katumbi,MW10408,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,110.2784591,,,,,,,,,,,,,,,,,,,,,,
STA Zolokere,MW10409,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,69.55956282,,,,,,,,,,,,,,,,,,,,,,
STA Chisovya,MW10410,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,84.95013802,,,,,,,,,,,,,,,,,,,,,,
STA Njikula,MW10411,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,42.84100069,,,,,,,,,,,,,,,,,,,,,,
Nyika National Park,MW10412,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1779.368368,,,,,,,,,,,,,,,,,,,,,,
Vwaza Marsh Reserve,MW10413,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,576.6781072,,,,,,,,,,,,,,,,,,,,,,
Rumphi Boma,MW10420,,Rumphi,MW104,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,11.26362115,,,,,,,,,,,,,,,,,,,,,,
TA M'Mbelwa,MW10501,TA MMbelwa,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1145.431445,,,,,,,,,,,,,,,,,,,,,,
TA Mtwalo,MW10502,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1967.239934,,,,,,,,,,,,,,,,,,,,,,
TA Kampingo Sibande,MW10503,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,961.130476,,,,,,,,,,,,,,,,,,,,,,
TA Jaravikuba Munthali,MW10504,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,163.1157274,,,,,,,,,,,,,,,,,,,,,,
TA Chindi,MW10505,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1755.817677,,,,,,,,,,,,,,,,,,,,,,
TA Mzikubola,MW10506,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1443.742065,,,,,,,,,,,,,,,,,,,,,,
TA Mabulabo,MW10507,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,544.9593966,,,,,,,,,,,,,,,,,,,,,,
TA Khosolo Gwaza Jere,MW10508,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,970.9336946,,,,,,,,,,,,,,,,,,,,,,
TA Mpherembe,MW10509,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,691.3973195,,,,,,,,,,,,,,,,,,,,,,
TA Mzukuzuku,MW10510,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,274.0027311,,,,,,,,,,,,,,,,,,,,,,
STA Levi Jere,MW10511,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,179.2854158,,,,,,,,,,,,,,,,,,,,,,
Vwaza Marsh Reserve,MW10512,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,363.4143328,,,,,,,,,,,,,,,,,,,,,,
Mzimba Boma,MW10520,,Mzimba,MW105,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,10.55946154,,,,,,,,,,,,,,,,,,,,,,
TA Mkumpha,MW10601,,Likoma,MW106,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,18.95468937,,,,,,,,,,,,,,,,,,,,,,
Likoma Boma,MW10620,,Likoma,MW106,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1.326856164,,,,,,,,,,,,,,,,,,,,,,
Chibavi East Ward,MW10701,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,0.841795025,,,,,,,,,,,,,,,,,,,,,,
Chibavi West Ward,MW10702,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1.517576799,,,,,,,,,,,,,,,,,,,,,,
Chibanja Ward,MW10703,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,2.054904221,,,,,,,,,,,,,,,,,,,,,,
Chiputula Ward,MW10704,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1.075929915,,,,,,,,,,,,,,,,,,,,,,
Jombo - Kaning'ina Ward,MW10705,Jombo - Kaningina Ward,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,5.435353324,,,,,,,,,,,,,,,,,,,,,,
Katawa Ward,MW10706,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,4.575851287,,,,,,,,,,,,,,,,,,,,,,
Luwinga Ward,MW10707,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,12.95764382,,,,,,,,,,,,,,,,,,,,,,
Masasa Ward,MW10708,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,18.96957279,,,,,,,,,,,,,,,,,,,,,,
Mchengautuwa East Ward,MW10709,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,4.36746807,,,,,,,,,,,,,,,,,,,,,,
Mchengautuwa West Ward,MW10710,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,22.72487479,,,,,,,,,,,,,,,,,,,,,,
Msongwe Ward,MW10711,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,17.54486119,,,,,,,,,,,,,,,,,,,,,,
Mzilawaingwe Ward,MW10712,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1.156290643,,,,,,,,,,,,,,,,,,,,,,
Nkhorongo - Lupaso Ward,MW10713,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,32.59837286,,,,,,,,,,,,,,,,,,,,,,
Zolozolo East Ward,MW10714,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,17.99136688,,,,,,,,,,,,,,,,,,,,,,
Zolozolo West Ward,MW10715,,Mzuzu City,MW107,Northern,MW1,Malawi,MW,29.03.23,05.04.23,,1.988050327,,,,,,,,,,,,,,,,,,,,,,
TA Kaluluma,MW20101,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,311.050892,,,,,,,,,,,,,,,,,,,,,,
TA Chisemphere,MW20102,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,93.39011946,,,,,,,,,,,,,,,,,,,,,,
TA Simlemba,MW20103,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,310.4224485,,,,,,,,,,,,,,,,,,,,,,
STA M'nyanja,MW20104,STA Mnyanja,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,288.3126313,,,,,,,,,,,,,,,,,,,,,,
STA Chisikwa,MW20105,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,44.15597312,,,,,,,,,,,,,,,,,,,,,,
TA Kaomba,MW20106,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,259.4070361,,,,,,,,,,,,,,,,,,,,,,
TA Kawamba,MW20107,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,504.3132609,,,,,,,,,,,,,,,,,,,,,,
STA Nthunduwala,MW20108,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,111.9171968,,,,,,,,,,,,,,,,,,,,,,
TA Njombwa,MW20109,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,287.2627247,,,,,,,,,,,,,,,,,,,,,,
TA Chilowamatambe,MW20110,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,245.6669528,,,,,,,,,,,,,,,,,,,,,,
STA Chambwe,MW20111,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,80.29359315,,,,,,,,,,,,,,,,,,,,,,
TA Chulu,MW20112,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,236.2523412,,,,,,,,,,,,,,,,,,,,,,
STA Chisinga,MW20113,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,153.4310509,,,,,,,,,,,,,,,,,,,,,,
STA Mphomwa,MW20114,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,168.3531967,,,,,,,,,,,,,,,,,,,,,,
STA Chaima,MW20115,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,213.322474,,,,,,,,,,,,,,,,,,,,,,
TA Kaphaizi,MW20116,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,13.5753095,,,,,,,,,,,,,,,,,,,,,,
STA Mangwazu,MW20117,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,35.4316367,,,,,,,,,,,,,,,,,,,,,,
STA Mawawa,MW20118,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,51.42083963,,,,,,,,,,,,,,,,,,,,,,
TA Lukwa,MW20119,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,263.0569425,,,,,,,,,,,,,,,,,,,,,,
Kasungu Boma,MW20120,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,36.66084966,,,,,,,,,,,,,,,,,,,,,,
TA Santhe,MW20121,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,332.227571,,,,,,,,,,,,,,,,,,,,,,
TA Chidzuma,MW20122,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,142.3850499,,,,,,,,,,,,,,,,,,,,,,
TA Wimbe,MW20123,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,888.5427751,,,,,,,,,,,,,,,,,,,,,,
TA Kapelula,MW20124,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,186.1017544,,,,,,,,,,,,,,,,,,,,,,
STA Kapichira,MW20125,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,48.7606547,,,,,,,,,,,,,,,,,,,,,,
STA Mdunga,MW20126,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,106.3378376,,,,,,,,,,,,,,,,,,,,,,
TA Mwase,MW20127,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,194.9701093,,,,,,,,,,,,,,,,,,,,,,
Kasungu National Park,MW20128,,Kasungu,MW201,Central,MW2,Malawi,MW,29.03.23,05.04.23,,2332.704573,,,,,,,,,,,,,,,,,,,,,,
TA Kanyenda,MW20201,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,602.0096614,,,,,,,,,,,,,,,,,,,,,,
TA Kafuzila,MW20202,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,565.194381,,,,,,,,,,,,,,,,,,,,,,
STA Kalimanjira,MW20203,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,77.63537223,,,,,,,,,,,,,,,,,,,,,,
TA Malenga Chanzi,MW20204,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,236.2863258,,,,,,,,,,,,,,,,,,,,,,
TA Mphonde,MW20205,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,178.7825433,,,,,,,,,,,,,,,,,,,,,,
TA Mwadzama,MW20206,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,608.4095902,,,,,,,,,,,,,,,,,,,,,,
TA Mwansambo,MW20207,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,240.7773967,,,,,,,,,,,,,,,,,,,,,,
Nkhotakota Game Reserve,MW20208,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,1787.940083,,,,,,,,,,,,,,,,,,,,,,
Nkhotakota Boma,MW20220,,Nkhotakota,MW202,Central,MW2,Malawi,MW,29.03.23,05.04.23,,12.38680924,,,,,,,,,,,,,,,,,,,,,,
TA Kasakula,MW20301,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,174.918653,,,,,,,,,,,,,,,,,,,,,,
TA Chikho,MW20302,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,155.150513,,,,,,,,,,,,,,,,,,,,,,
TA Kalumo,MW20303,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,285.972366,,,,,,,,,,,,,,,,,,,,,,
TA Nthondo,MW20304,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,240.8957562,,,,,,,,,,,,,,,,,,,,,,
TA Chilooko,MW20305,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,523.5060081,,,,,,,,,,,,,,,,,,,,,,
TA Vuso Jere,MW20306,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,90.97909581,,,,,,,,,,,,,,,,,,,,,,
TA Malenga,MW20307,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,234.4194521,,,,,,,,,,,,,,,,,,,,,,
Ntchisi Boma,MW20320,,Ntchisi,MW203,Central,MW2,Malawi,MW,29.03.23,05.04.23,,4.459843684,,,,,,,,,,,,,,,,,,,,,,
TA Dzoole,MW20401,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,358.106712,,,,,,,,,,,,,,,,,,,,,,
TA Chakhaza,MW20402,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,733.7670903,,,,,,,,,,,,,,,,,,,,,,
TA Kayembe,MW20403,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,444.509727,,,,,,,,,,,,,,,,,,,,,,
TA Chiwere,MW20404,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,521.6543118,,,,,,,,,,,,,,,,,,,,,,
TA Mkukula,MW20405,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,396.9441837,,,,,,,,,,,,,,,,,,,,,,
TA Msakambewa,MW20406,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,431.3032318,,,,,,,,,,,,,,,,,,,,,,
TA Mponela,MW20407,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,165.2368099,,,,,,,,,,,,,,,,,,,,,,
Dowa Boma,MW20420,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,5.136360545,,,,,,,,,,,,,,,,,,,,,,
Mponela Urban,MW20421,,Dowa,MW204,Central,MW2,Malawi,MW,29.03.23,05.04.23,,10.27517359,,,,,,,,,,,,,,,,,,,,,,
TA Maganga,MW20501,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,186.9775938,,,,,,,,,,,,,,,,,,,,,,
TA Karonga,MW20502,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,447.4000662,,,,,,,,,,,,,,,,,,,,,,
TA Pemba,MW20503,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,93.84941355,,,,,,,,,,,,,,,,,,,,,,
TA Kambwiri,MW20504,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,260.9775348,,,,,,,,,,,,,,,,,,,,,,
TA Ndindi,MW20505,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,200.9841514,,,,,,,,,,,,,,,,,,,,,,
TA Kambalame,MW20506,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,58.33962175,,,,,,,,,,,,,,,,,,,,,,
TA Khombedza,MW20507,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,487.0831498,,,,,,,,,,,,,,,,,,,,,,
TA Mwanza,MW20508,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,171.0145907,,,,,,,,,,,,,,,,,,,,,,
TA Kuluunda,MW20509,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,163.5557773,,,,,,,,,,,,,,,,,,,,,,
TA Msosa,MW20510,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,27.97444263,,,,,,,,,,,,,,,,,,,,,,
Lake Malawi National Park,MW20511,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,1.593508647,,,,,,,,,,,,,,,,,,,,,,
Salima Town,MW20520,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,17.66312397,,,,,,,,,,,,,,,,,,,,,,
Chipoka Urban,MW20521,,Salima,MW205,Central,MW2,Malawi,MW,29.03.23,05.04.23,,11.23689371,,,,,,,,,,,,,,,,,,,,,,
TA Chadza,MW20601,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,368.9587246,,,,,,,,,,,,,,,,,,,,,,
TA Kalolo,MW20602,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,588.5896085,,,,,,,,,,,,,,,,,,,,,,
TA Masula,MW20603,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,813.4070151,,,,,,,,,,,,,,,,,,,,,,
TA Masumbankhunda,MW20604,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,441.6382715,,,,,,,,,,,,,,,,,,,,,,
TA Chiseka,MW20605,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,298.5584521,,,,,,,,,,,,,,,,,,,,,,
TA Mazengera,MW20606,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,351.7411831,,,,,,,,,,,,,,,,,,,,,,
STA Chitekwele,MW20607,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,373.5421105,,,,,,,,,,,,,,,,,,,,,,
TA Khongoni,MW20608,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,543.0785416,,,,,,,,,,,,,,,,,,,,,,
TA Chimutu,MW20609,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,397.4232327,,,,,,,,,,,,,,,,,,,,,,
TA Chitukula,MW20610,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,86.27062563,,,,,,,,,,,,,,,,,,,,,,
TA Mtema,MW20611,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,188.0493753,,,,,,,,,,,,,,,,,,,,,,
TA Kalumbu,MW20612,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,194.6336382,,,,,,,,,,,,,,,,,,,,,,
TA Tsabango,MW20613,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,70.78307708,,,,,,,,,,,,,,,,,,,,,,
TA Kalumba,MW20614,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,50.74098748,,,,,,,,,,,,,,,,,,,,,,
TA Njewa,MW20615,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,110.0345953,,,,,,,,,,,,,,,,,,,,,,
TA Malili,MW20616,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,330.36161,,,,,,,,,,,,,,,,,,,,,,
TA Kabudula,MW20617,,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,519.1559193,,,,,,,,,,,,,,,,,,,,,,
STA Mbang'ombe,MW20618,STA Mbangombe,Lilongwe,MW206,Central,MW2,Malawi,MW,29.03.23,05.04.23,,29.68631113,,,,,,,,,,,,,,,,,,,,,,
TA Mlonyeni,MW20701,,Mchinji,MW207,Central,MW2,Malawi,MW,29.03.23,05.04.23,,264.2990708,,,,,,,,,,,,,,,,,,,,,,
TA Mavwere,MW20702,,Mchinji,MW207,Central,MW2,Malawi,MW,29.03.23,05.04.23,,453.6035874,,,,,,,,,,,,,,,,,,,,,,
TA Zulu,MW20703,,Mchinji,MW207,Central,MW2,Malawi,MW,29.03.23,05.04.23,,241.8748455,,,,,,,,,,,,,,,,,,,,,,
TA Simphasi,MW20704,,Mchinji,MW207,Central,MW2,Malawi,MW,29.03.23,05.04.23,,218.3345255,,,,,,,,,,,,,,,,,,,,,,
TA Mduwa,MW20705,,Mchinji,MW207,Central,MW2,Malawi,MW,29.03.23,05.04.23,,318.4750731,,,,,,,,,,,,,,,,,,,,,,
STA Nyoka,MW20706,,Mchinji,MW207,Central,MW2,Malawi,MW,29.03.23,05.04.23,,252.104812,,,,,,,,,,,,,,,,,,,,,,
